protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2,num_bases_used,bell_parameter,entanglement_verified,decoy_qber,attack_detected
AB-QKD,ionq_aria,trapped_ion,5,1.0,0,0.7943282347242815,397,141,0.282,0.1454138605099,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,1,0.7943282347242815,397,121,0.242,0.00255671765275713,0.22831678934597782,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,2,0.7943282347242815,397,118,0.236,0.09346580856184804,0.0034328548662990155,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,3,0.7943282347242815,397,108,0.216,0.3025567176527571,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,4,0.7943282347242815,397,140,0.28,0.2168424319384714,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,5,0.7943282347242815,397,131,0.262,0.23332594842198792,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,6,0.7943282347242815,397,144,0.288,0.2168424319384714,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,7,0.7943282347242815,397,127,0.254,0.2525567176527571,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,8,0.7943282347242815,397,133,0.266,0.3102490253450648,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.0,9,0.7943282347242815,397,121,0.242,0.2525567176527571,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.2,0,0.7943282347242815,397,126,0.252,0.1693233843194238,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.2,1,0.7943282347242815,397,132,0.264,0.07957979457583404,0.0312752770653798,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.2,2,0.7943282347242815,397,106,0.212,0.10265671765275712,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.2,3,0.7943282347242815,397,128,0.256,0.1693233843194238,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.2,4,0.7943282347242815,397,115,0.23,0.18447489947093895,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.2,5,0.7943282347242815,397,115,0.23,0.002656717652757119,0.21656115409443424,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.2,6,0.7943282347242815,397,128,0.256,0.5,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,1.2,7,0.7943282347242815,397,122,0.244,0.1693233843194238,0.0,0.9995,0.987,10000,1000,4.0,,,,
