protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2
BBM92,ionq_aria,trapped_ion,5,1.0,0,0.7943282347242815,397,243,0.486,0.00255671765275713,0.45852049430638525,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,1,0.7943282347242815,397,255,0.51,0.00255671765275713,0.4811634816795401,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,2,0.7943282347242815,397,256,0.512,0.00255671765275713,0.48305039729396965,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,3,0.7943282347242815,397,264,0.528,0.00255671765275713,0.4981457222094062,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,4,0.7943282347242815,397,259,0.518,0.00255671765275713,0.48871114413725836,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,5,0.7943282347242815,397,246,0.492,0.00255671765275713,0.46418124114967396,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,6,0.7943282347242815,397,275,0.55,0.00255671765275713,0.5189017939681315,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,7,0.7943282347242815,397,261,0.522,0.00255671765275713,0.4924849753661175,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,8,0.7943282347242815,397,257,0.514,0.00255671765275713,0.4849373129083992,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.0,9,0.7943282347242815,397,252,0.504,0.00255671765275713,0.4755027348362514,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,0,0.7943282347242815,397,237,0.474,0.002656717652757119,0.44630429148157313,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,1,0.7943282347242815,397,267,0.534,0.002656717652757119,0.5027985055931647,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,2,0.7943282347242815,397,265,0.53,0.002656717652757119,0.49903222465239194,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,3,0.7943282347242815,397,257,0.514,0.002656717652757119,0.48396710088930084,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,4,0.7943282347242815,397,238,0.476,0.002656717652757119,0.4481874319519595,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,5,0.7943282347242815,397,252,0.504,0.002656717652757119,0.4745513985373689,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,6,0.7943282347242815,397,255,0.51,0.002656717652757119,0.4802008199485281,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,7,0.7943282347242815,397,248,0.496,0.002656717652757119,0.4670188366558234,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,8,0.7943282347242815,397,245,0.49,0.002656717652757119,0.4613694152446642,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.2,9,0.7943282347242815,397,244,0.488,0.002656717652757119,0.45948627477427784,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,0,0.7943282347242815,397,243,0.486,0.0028067176527571025,0.4562379459408443,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,1,0.7943282347242815,397,237,0.474,0.0028067176527571025,0.44497281147316914,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,2,0.7943282347242815,397,253,0.506,0.0028067176527571025,0.4750131700536363,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,3,0.7943282347242815,397,263,0.526,0.0028067176527571025,0.4937883941664283,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,4,0.7943282347242815,397,260,0.52,0.0028067176527571025,0.4881558269325907,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,5,0.7943282347242815,397,246,0.492,0.0028067176527571025,0.4618705131746819,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,6,0.7943282347242815,397,270,0.54,0.0028067176527571025,0.5069310510453826,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,7,0.7943282347242815,397,279,0.558,0.0028067176527571025,0.5238287527468954,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,8,0.7943282347242815,397,250,0.5,0.0028067176527571025,0.4693806028197987,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,1.5,9,0.7943282347242815,397,270,0.54,0.0028067176527571025,0.5069310510453826,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,0,0.7943282347242815,397,265,0.53,0.003056717652757075,0.49509185412115625,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,1,0.7943282347242815,397,248,0.496,0.003056717652757075,0.46333124461149716,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,2,0.7943282347242815,397,252,0.504,0.003056717652757075,0.47080432920200516,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,3,0.7943282347242815,397,261,0.522,0.003056717652757075,0.48761876953064826,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,4,0.7943282347242815,397,248,0.496,0.003056717652757075,0.46333124461149716,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,5,0.7943282347242815,397,245,0.49,0.003056717652757075,0.4577264311686161,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,6,0.7943282347242815,397,256,0.512,0.003056717652757075,0.4782774137925132,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,7,0.7943282347242815,397,244,0.488,0.003056717652757075,0.4558581600209891,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,8,0.7943282347242815,397,241,0.482,0.003056717652757075,0.4502533465781081,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.0,9,0.7943282347242815,397,247,0.494,0.003056717652757075,0.46146297346387016,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,0,0.7943282347242815,397,235,0.47,0.0033067176527570474,0.436900301749782,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,1,0.7943282347242815,397,258,0.516,0.0033067176527570474,0.4796607568146543,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,2,0.7943282347242815,397,250,0.5,0.0033067176527570474,0.4647875550529596,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,3,0.7943282347242815,397,266,0.532,0.0033067176527570474,0.494533958576349,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,4,0.7943282347242815,397,247,0.494,0.0033067176527570474,0.45921010439232407,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,5,0.7943282347242815,397,245,0.49,0.0033067176527570474,0.4554918039519004,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,6,0.7943282347242815,397,248,0.496,0.0033067176527570474,0.4610692546125359,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,7,0.7943282347242815,397,252,0.504,0.0033067176527570474,0.4685058554933833,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,8,0.7943282347242815,397,226,0.452,0.0033067176527570474,0.42016794976787547,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,5,2.5,9,0.7943282347242815,397,248,0.496,0.044973384319423715,0.20721641521555034,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,0,0.6309573444801932,315,245,0.49,0.004190426555198013,0.4478160362918043,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,1,0.6309573444801932,315,241,0.482,0.004190426555198013,0.440504754066632,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,2,0.6309573444801932,315,245,0.49,0.004190426555198013,0.4478160362918043,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,3,0.6309573444801932,315,251,0.502,0.004190426555198013,0.4587829596295628,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,4,0.6309573444801932,315,247,0.494,0.004190426555198013,0.4514716774043904,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,5,0.6309573444801932,315,242,0.484,0.004190426555198013,0.442332574622925,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,6,0.6309573444801932,315,258,0.516,0.004190426555198013,0.47157770352361433,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,7,0.6309573444801932,315,249,0.498,0.004190426555198013,0.4551273185169766,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,8,0.6309573444801932,315,257,0.514,0.004190426555198013,0.46974988296732123,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.0,9,0.6309573444801932,315,242,0.484,0.045857093221864674,0.19806880999055276,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.2,0,0.6309573444801932,315,244,0.488,0.004290426555198002,0.44514270445288373,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.2,1,0.6309573444801932,315,274,0.548,0.004290426555198002,0.499873364836435,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.2,2,0.6309573444801932,315,241,0.482,0.004290426555198002,0.43966963841452855,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.2,3,0.6309573444801932,315,238,0.476,0.004290426555198002,0.43419657237617343,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.2,4,0.6309573444801932,315,248,0.496,0.004290426555198002,0.4524401258373572,0.9995,0.987,10000,1000
BBM92,ionq_aria,trapped_ion,10,1.2,5,0.6309573444801932,315,248,0.496,0.004290426555198002,0.4524401258373572,0.9995,0.987,10000,1000
