protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,0,0.7943282347242815,397,249,0.498,0.00255671765275713,0.516826186792259,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,1,0.7943282347242815,397,236,0.472,0.00255671765275713,0.4898432935059161,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,2,0.7943282347242815,397,256,0.512,0.00255671765275713,0.5313554370233666,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,3,0.7943282347242815,397,243,0.486,0.00255671765275713,0.5043725437370238,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,4,0.7943282347242815,397,263,0.526,0.00255671765275713,0.5458846872544744,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,5,0.7943282347242815,397,257,0.514,0.00255671765275713,0.5334310441992391,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,6,0.7943282347242815,397,267,0.534,0.00255671765275713,0.5541871159579644,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,7,0.7943282347242815,397,244,0.488,0.00255671765275713,0.5064481509128963,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,8,0.7943282347242815,397,259,0.518,0.00255671765275713,0.5375822585509842,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.0,9,0.7943282347242815,397,240,0.48,0.00255671765275713,0.4981457222094062,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,0,0.7943282347242815,397,260,0.52,0.002656717652757119,0.538578174530506,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,1,0.7943282347242815,397,214,0.428,0.002656717652757119,0.44329126672895497,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,2,0.7943282347242815,397,268,0.536,0.002656717652757119,0.5551498106699062,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,3,0.7943282347242815,397,256,0.512,0.002656717652757119,0.530292356460806,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,4,0.7943282347242815,397,232,0.464,0.002656717652757119,0.4805774480426054,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,5,0.7943282347242815,397,246,0.492,0.002656717652757119,0.5095778112865557,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,6,0.7943282347242815,397,259,0.518,0.002656717652757119,0.536506720013081,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,7,0.7943282347242815,397,241,0.482,0.002656717652757119,0.4992205386994306,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,8,0.7943282347242815,397,239,0.478,0.002656717652757119,0.4950776296645805,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.2,9,0.7943282347242815,397,245,0.49,0.002656717652757119,0.5075063567691307,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,0,0.7943282347242815,397,246,0.492,0.0028067176527571025,0.5080575644921501,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,1,0.7943282347242815,397,261,0.522,0.0028067176527571025,0.5390366842782569,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,2,0.7943282347242815,397,242,0.484,0.0028067176527571025,0.4997964658825217,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,3,0.7943282347242815,397,251,0.502,0.0028067176527571025,0.5183839377541858,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,4,0.7943282347242815,397,270,0.54,0.0028067176527571025,0.5576241561499209,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,5,0.7943282347242815,397,246,0.492,0.0028067176527571025,0.5080575644921501,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,6,0.7943282347242815,397,234,0.468,0.0028067176527571025,0.4832742686632648,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,7,0.7943282347242815,397,256,0.512,0.0028067176527571025,0.5287103110162213,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,8,0.7943282347242815,397,243,0.486,0.0028067176527571025,0.5018617405349288,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,1.5,9,0.7943282347242815,397,256,0.512,0.0028067176527571025,0.5287103110162213,0.9995,0.987,10000,1000
