protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2
Six-State,ionq_aria,trapped_ion,5,1.0,0,0.7943282347242815,397,176,0.352,0.12020377647628654,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,1,0.7943282347242815,397,187,0.374,0.11366782876386823,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,2,0.7943282347242815,397,164,0.328,0.12755671765275714,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,3,0.7943282347242815,397,170,0.34,0.12020377647628654,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,4,0.7943282347242815,397,162,0.324,0.2525567176527571,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,5,0.7943282347242815,397,176,0.352,0.06138024706452184,0.09420240147857317,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,6,0.7943282347242815,397,164,0.328,0.12755671765275714,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,7,0.7943282347242815,397,146,0.292,0.2168424319384714,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,8,0.7943282347242815,397,166,0.332,0.06505671765275713,0.07840554961137632,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.0,9,0.7943282347242815,397,165,0.33,0.06505671765275713,0.07793322702335598,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,0,0.7943282347242815,397,181,0.362,0.22487893987497934,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,1,0.7943282347242815,397,175,0.35,0.002656717652757119,0.3295495823176173,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,2,0.7943282347242815,397,184,0.368,0.1693233843194238,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,3,0.7943282347242815,397,162,0.324,0.002656717652757119,0.3050687562025943,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,4,0.7943282347242815,397,184,0.368,0.1693233843194238,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,5,0.7943282347242815,397,164,0.328,0.19015671765275713,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,6,0.7943282347242815,397,177,0.354,0.12030377647628653,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,7,0.7943282347242815,397,167,0.334,0.19015671765275713,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,8,0.7943282347242815,397,174,0.348,0.12030377647628653,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.2,9,0.7943282347242815,397,163,0.326,0.2526567176527571,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,0,0.7943282347242815,397,165,0.33,0.1903067176527571,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,1,0.7943282347242815,397,148,0.296,0.2170924319384714,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,2,0.7943282347242815,397,179,0.358,0.06163024706452181,0.09503399843876245,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,3,0.7943282347242815,397,178,0.356,0.17927730588805124,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,4,0.7943282347242815,397,184,0.368,0.16947338431942377,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,5,0.7943282347242815,397,161,0.322,0.0653067176527571,0.07536349233944457,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,6,0.7943282347242815,397,163,0.326,0.0653067176527571,0.07629968479086625,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,7,0.7943282347242815,397,164,0.328,0.3153067176527571,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,8,0.7943282347242815,397,160,0.32,0.0653067176527571,0.07489539611373373,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,1.5,9,0.7943282347242815,397,164,0.328,0.1278067176527571,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.0,0,0.7943282347242815,397,179,0.358,0.2971743647115806,0.0,0.9995,0.987,10000,1000
